amountemployes,beforetaxes
1855, 65285
1464, -146000
36, 4333
1386, 1906692
2317, 2691000
20, 11
2340, 754384
22150, 56771000
87, 46810
59, 4469
83, 46510
3642, -413000
522, 20291
254, 501020
91, 9000
1654, 2450232
844, 93923
640, 43021
1850, 296831
